customer_id,ews_flag
QG90109947,0
JP44607169,0
AB73272724,0
FH88820880,1
LM73737116,1
QU75758504,0
AF01071638,0
VQ00307396,0
JJ43010811,0
VV61209106,0
VI53660932,1
QL76722480,0
YH46615606,0
HE48491549,0
RN66592243,0
UA56358284,0
HQ58783137,0
VM89998957,0
KI64472634,0
PI82860238,0
TS48314454,0
FT99676403,0
PF57142337,0
EL76007758,1
RY84944940,0
PN36852384,0
LN18443920,0
UE47941002,1
JY63941605,0
SJ03516006,0
FZ87447876,0
YF66783912,0
NB85232565,0
JB33562768,0
PA29368556,0
EL97680867,0
AP75648775,0
HZ40268269,0
RL93000249,0
ME81508538,0
DQ39365002,0
MF54534997,0
KU93910192,0
WT11200733,0
OQ29939736,0
UG85807696,0
NJ16683074,0
KX15818609,0
PI69352409,0
FG02140462,0
FJ39821800,0
FB85983526,0
KI70838192,1
LM64838803,0
BC22951149,0
FQ21817540,1
NK59945748,0
GK23149789,0
EF23557001,0
GW11148407,0
CE81070728,0
HD33744347,0
PQ62948889,0
FP38891469,0
LI60607232,0
WD65084048,0
WW29262680,0
HM35477572,0
KA23908392,0
AJ89970485,0
HX49986161,0
AD11029342,0
NM85369474,0
FJ12901568,0
IQ59464998,0
QC10699850,0
DH66314010,0
JT17074276,0
GL23714045,1
CB74518144,1
RU95166034,1
RB85699037,1
UN48786511,0
BM50025433,0
RA99071527,0
TJ00106011,0
KL58470626,0
OU90499100,0
DD80351152,0
GG14471542,0
RL83905336,0
XK20824505,1
YC36803035,0
SK76076786,0
QI15250223,0
NO04994963,0
VL25006701,0
CW26507744,0
RL72190330,1
NN75787740,1
QE68049270,1
WK76911985,0
SL19242647,0
SN30667237,0
ZV09030524,0
LC00432289,0
VC07020753,0
ED40086396,0
RZ64709323,0
KG73447904,0
MJ04389943,0
GX82928989,0
UE99464857,0
YE95301507,0
MB05382308,0
TS70804547,0
FE48617544,0
SV33240846,0
OF92550101,0
XG55865743,0
JC15043440,1
HL44947642,0
AL59562440,0
TD55910598,0
TM30523852,0
IV28202977,1
XX99977727,0
QX81866887,0
DW44678810,0
SJ83615724,0
RR52476729,0
EH44669366,0
GK72567235,0
KZ10536351,0
KU69383570,0
EJ88329506,0
OV84563416,0
EM73068379,0
DR71165973,0
VJ99160296,0
SL45895833,0
AG09250219,1
VL65323020,1
RD66844928,0
NX67838651,1
KW93141520,0
CU71397597,0
XL90566562,0
OK60896977,0
YQ67853343,0
TO17323442,1
LG99365929,0
LG63949149,1
WF84945718,0
ID82206669,0
CW08267447,0
IB45814632,0
PW46487370,1
VK20827313,0
NA22028728,0
LU48802662,0
VU24875959,0
VV22663394,0
GZ31021526,0
RS37543745,0
ML31791692,1
DQ38670146,0
FY03665007,0
LP45711478,0
YZ93963796,0
KI06964805,0
GK66562561,0
XR56856633,0
YL02317232,0
WR94011196,0
FQ99031016,0
QY92601405,0
VF07192925,1
FP75656133,0
WQ33572680,0
VJ57802323,0
DU53683589,0
KK44998335,0
KA72752066,0
UP20660092,0
HX53484377,1
WV18876455,1
GG53778235,0
BA64027113,0
HT26942503,0
WU71025315,1
OW19244182,0
ZK12238594,1
BH45981456,0
PT37203204,1
DV81253153,0
VJ55440200,0
QS90831288,0
SN69395417,0
LH36705627,0
GE74173773,1
MF30907791,0
